1A02: [['Q13469', 'P01100'], ['Q13469', 'P05412'], ['P01100', 'P05412']]
6JTO: [['P10321', 'P61769'], ['P10321', 'P01116'], ['P61769', 'P01116']]
6JTP: [['P01116', 'C1K0Y1'], ['P01116', 'P61769'], ['C1K0Y1', 'P61769']]
6KN0: [['P29466', 'P29466'], ['P29466', 'P57764'], ['P29466', 'P57764']]
6KTO: [['Q9UI95', 'Q6ZNX1'], ['Q9UI95', 'Q86V20'], ['Q6ZNX1', 'Q86V20']]
6KXS: [['P01871', 'P01591'], ['P01871', 'P01833'], ['P01591', 'P01833']]
6KXV: [['P62805', 'P04908'], ['P62805', 'P06899'], ['P04908', 'P06899']]
6L54: [['Q96Q15', 'Q8ND04'], ['Q96Q15', 'Q9H0W8'], ['Q8ND04', 'Q9H0W8']]
6LPB: [['P18509', 'P41586'], ['P18509', 'P63092'], ['P41586', 'P63092']]
6LT0: [['Q9HAD4', 'Q8TEV9'], ['Q9HAD4', 'Q96LT7'], ['Q8TEV9', 'Q96LT7']]
6M8S: [['P62873', 'P59768'], ['P62873', 'Q96CX2'], ['P59768', 'Q96CX2']]
6M90: [['Q9Y297', 'P63208'], ['Q9Y297', 'P35222'], ['P63208', 'P35222']]
6M91: [['Q9Y297', 'P63208'], ['Q9Y297', 'P35222'], ['P63208', 'P35222']]
6M92: [['Q9Y297', 'P63208'], ['Q9Y297', 'P35222'], ['P63208', 'P35222']]
6M93: [['Q9Y297', 'P63208'], ['Q9Y297', 'P35222'], ['P63208', 'P35222']]
6M94: [['Q9Y297', 'P63208'], ['Q9Y297', 'P35222'], ['P63208', 'P35222']]
6MPP: [['P04439', 'P01111'], ['P04439', 'P61769'], ['P01111', 'P61769']]
6N5W: [['P56696', 'P56696'], ['P56696', 'P0DP23'], ['P56696', 'P0DP23']]
6NAJ: [['P06756', 'P05106'], ['P06756', 'P02751'], ['P05106', 'P02751']]
6NBW: [['P60709', 'Q93015'], ['P60709', 'P07737'], ['Q93015', 'P07737']]
6NI3: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
6NIX: [['P01903', 'P01911'], ['P01903', 'P02458'], ['P01911', 'P02458']]
6NTS: [['P30153', 'Q15172'], ['P30153', 'P67775'], ['Q15172', 'P67775']]
6NUC: [['Q08209', 'P63098'], ['Q08209', 'P19634'], ['P63098', 'P19634']]
6NUF: [['Q08209', 'P63098'], ['Q08209', 'P19634'], ['P63098', 'P19634']]
6NUU: [['Q08209', 'P63098'], ['Q08209', 'P19634'], ['P63098', 'P19634']]
6O4D: [['P49419', 'P49419'], ['P49419', 'P49419'], ['P49419', 'P49419']]
6O4Y: [['A0A140T913', 'P61769'], ['A0A140T913', 'P01116'], ['P61769', 'P01116']]
6O9B: [['P04439', 'P61769'], ['P04439', 'P35222'], ['P61769', 'P35222']]
6O9C: [['P04439', 'P61769'], ['P04439', 'P35222'], ['P61769', 'P35222']]
6OEL: [['P24394', 'P31785'], ['P24394', 'P05112'], ['P31785', 'P05112']]
6OI4: [['Q16186', 'P0CG48'], ['Q16186', 'Q99460'], ['P0CG48', 'Q99460']]
6OM2: [['P06756', 'P26012'], ['P06756', 'P01137'], ['P26012', 'P01137']]
6OQ1: [['P0CG47', 'P0CG47'], ['P0CG47', 'P0CG47'], ['P0CG47', 'P0CG47']]
6OQ2: [['P0CG47', 'P0CG47'], ['P0CG47', 'P0CG47'], ['P0CG47', 'P0CG47']]
6P3W: [['P24941', 'P20248'], ['P24941', 'Q13415'], ['P20248', 'Q13415']]
6P59: [['Q13951', 'Q15370'], ['Q13951', 'Q15369'], ['Q15370', 'Q15369']]
6P64: [['Q53Z42', 'P61769'], ['Q53Z42', 'Q5VTY9'], ['P61769', 'Q5VTY9']]
6P8E: [['P24385', 'P46527'], ['P24385', 'P11802'], ['P46527', 'P11802']]
6P8F: [['P24385', 'P46527'], ['P24385', 'P11802'], ['P46527', 'P11802']]
6P8G: [['P24385', 'P11802'], ['P24385', 'P46527'], ['P11802', 'P46527']]
6P8H: [['P24385', 'P11802'], ['P24385', 'P38936'], ['P11802', 'P38936']]
6PA1: [['P10321', 'P61769'], ['P10321', 'P43627'], ['P61769', 'P43627']]
6PAG: [['P10321', 'P61769'], ['P10321', 'P43628'], ['P61769', 'P43628']]
6PAV: [['P30419', 'P62330'], ['P30419', 'P62330'], ['P62330', 'P62330']]
6PPL: [['Q9GZZ1', 'Q9BXJ9'], ['Q9GZZ1', 'P41227'], ['Q9BXJ9', 'P41227']]
6PTB: [['P04439', 'P61769'], ['P04439', 'Q68CZ6'], ['P61769', 'Q68CZ6']]
6PTE: [['P04439', 'P61769'], ['P04439', 'Q68CZ6'], ['P61769', 'Q68CZ6']]
6PTS: [['P02647', 'P01116'], ['P02647', 'P04049'], ['P01116', 'P04049']]
6PTW: [['P02647', 'P04049'], ['P02647', 'P01116'], ['P04049', 'P01116']]
6PWW: [['Q15291', 'P61964'], ['Q15291', 'Q03164'], ['P61964', 'Q03164']]
6PX6: [['Q08AS3', 'A0A0U5IHY9'], ['Q08AS3', 'K7N5M3'], ['A0A0U5IHY9', 'K7N5M3']]
6PY8: [['Q7Z6K4', 'Q06330'], ['Q7Z6K4', 'P46531'], ['Q06330', 'P46531']]
6PYJ: [['A0A583ZBQ2', 'P61769'], ['A0A583ZBQ2', 'P37268'], ['P61769', 'P37268']]
6PYV: [['P01889', 'P61769'], ['P01889', 'P37268'], ['P61769', 'P37268']]
6PYW: [['P01889', 'P61769'], ['P01889', 'P37268'], ['P61769', 'P37268']]
6PZ5: [['P01889', 'P61769'], ['P01889', 'P37268'], ['P61769', 'P37268']]
6Q2J: [['Q99988', 'Q6UXV0'], ['Q99988', 'P07949'], ['Q6UXV0', 'P07949']]
6Q2N: [['P39905', 'P56159'], ['P39905', 'P07949'], ['P56159', 'P07949']]
6Q2O: [['Q99748', 'O00451'], ['Q99748', 'P07949'], ['O00451', 'P07949']]
6Q2R: [['Q99748', 'O00451'], ['Q99748', 'P07949'], ['O00451', 'P07949']]
6Q8I: [['Q2TAY7', 'Q13123'], ['Q2TAY7', 'Q13123'], ['Q13123', 'Q13123']]
6QIO: [['P02768', 'P55899'], ['P02768', 'P61769'], ['P55899', 'P61769']]
6QIP: [['P02768', 'P55899'], ['P02768', 'P61769'], ['P55899', 'P61769']]
6QML: [['P15374', 'P0CG47'], ['P15374', 'P0CG48'], ['P0CG47', 'P0CG48']]
6QMP: [['P23511', 'P25208'], ['P23511', 'Q13952'], ['P25208', 'Q13952']]
6QMQ: [['P23511', 'P25208'], ['P23511', 'Q13952'], ['P25208', 'Q13952']]
6QMS: [['P23511', 'P25208'], ['P23511', 'Q13952'], ['P25208', 'Q13952']]
6QNX: [['Q8N3U4', 'O60216'], ['Q8N3U4', 'P49711'], ['O60216', 'P49711']]
6QUS: [['P68363', 'Q5T5Y3'], ['P68363', 'P07437'], ['Q5T5Y3', 'P07437']]
6QVJ: [['Q5T5Y3', 'P68363'], ['Q5T5Y3', 'P07437'], ['P68363', 'P07437']]
6R2W: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
6RN6: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
6RN7: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
6RN9: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
6RNE: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
6RNI: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
6RP9: [['P04439', 'P61769'], ['P04439', 'P78358'], ['P61769', 'P78358']]
6RPA: [['P04439', 'P61769'], ['P04439', 'P78358'], ['P61769', 'P78358']]
6RPB: [['P04439', 'P61769'], ['P04439', 'P78358'], ['P61769', 'P78358']]
6RPR: [['P02545', 'O75531'], ['P02545', 'P50402'], ['O75531', 'P50402']]
6RSY: [['P04439', 'P61769'], ['P04439', 'P19544'], ['P61769', 'P19544']]
6S0B: [['P27918', 'P27918'], ['P27918', 'P01024'], ['P27918', 'P01024']]
6S53: [['P61088', 'P0CG48'], ['P61088', 'P19474'], ['P0CG48', 'P19474']]
6SF2: [['P37023', 'Q9UK05'], ['P37023', 'Q9UK05'], ['Q9UK05', 'Q9UK05']]
6SO5: [['O43681', 'O00258'], ['O43681', 'P49069'], ['O00258', 'P49069']]
6SQO: [['Q00987', 'P62837'], ['Q00987', 'P62979'], ['P62837', 'P62979']]
6SQR: [['P62837', 'P62979'], ['P62837', 'P0CG48'], ['P62979', 'P0CG48']]
6SYT: [['Q96Q15', 'Q8ND04'], ['Q96Q15', 'Q9H0W8'], ['Q8ND04', 'Q9H0W8']]
6T7F: [['O75592', 'P61077'], ['O75592', 'P0CG48'], ['P61077', 'P0CG48']]
6TB2: [['P69905', 'P68871'], ['P69905', 'P00738'], ['P68871', 'P00738']]
6TD3: [['Q16531', 'Q9NYV4'], ['Q16531', 'O75909'], ['Q9NYV4', 'O75909']]
6TGC: [['Q92608', 'Q92556'], ['Q92608', 'P63000'], ['Q92556', 'P63000']]
6TKY: [['Q96BY6', 'P60953'], ['Q96BY6', 'Q96BY6'], ['P60953', 'Q96BY6']]
6TM1: [['Q96BY6', 'P60763'], ['Q96BY6', 'Q96BY6'], ['P60763', 'Q96BY6']]
6TM2: [['Q02817', 'Q02817'], ['Q02817', 'Q02817'], ['Q02817', 'Q02817']]
6TMO: [['A0A5B8RNS7', 'P61769'], ['A0A5B8RNS7', 'Q16655'], ['P61769', 'Q16655']]
6TRN: [['Q53Z42', 'P61769'], ['Q53Z42', 'P43358'], ['P61769', 'P43358']]
6TRO: [['Q53Z42', 'P61769'], ['Q53Z42', 'P43358'], ['P61769', 'P43358']]
6UD0: [['P0CG47', 'P0CG47'], ['P0CG47', 'Q99816'], ['P0CG47', 'Q99816']]
6UDJ: [['S6B2B6', 'Q6PIL8'], ['S6B2B6', 'Q8N355'], ['Q6PIL8', 'Q8N355']]
6UE7: [['P01876', 'P01833'], ['P01876', 'P01591'], ['P01833', 'P01591']]
6UE8: [['P01877', 'P01833'], ['P01877', 'P01591'], ['P01833', 'P01591']]
6UE9: [['P01877', 'P01833'], ['P01877', 'P01591'], ['P01833', 'P01591']]
6UEA: [['P01877', 'P01833'], ['P01877', 'P01591'], ['P01833', 'P01591']]
6UJ7: [['P01889', 'P61769'], ['P01889', 'P48735'], ['P61769', 'P48735']]
6UJ8: [['P01889', 'P61769'], ['P01889', 'P48735'], ['P61769', 'P48735']]
6UJ9: [['P01889', 'P61769'], ['P01889', 'P48735'], ['P61769', 'P48735']]
6UJO: [['U5YJP1', 'P61769'], ['U5YJP1', 'Q5VTY9'], ['P61769', 'Q5VTY9']]
6UJQ: [['U5YJP1', 'P61769'], ['U5YJP1', 'Q5VTY9'], ['P61769', 'Q5VTY9']]
6UK2: [['U5YJP1', 'P61769'], ['U5YJP1', 'Q5VTY9'], ['P61769', 'Q5VTY9']]
6UK4: [['U5YJP1', 'P61769'], ['U5YJP1', 'Q5VTY9'], ['P61769', 'Q5VTY9']]
6ULI: [['C1K0Y1', 'P61769'], ['C1K0Y1', 'P01111'], ['P61769', 'P01111']]
6ULK: [['C1K0Y1', 'P61769'], ['C1K0Y1', 'P01111'], ['P61769', 'P01111']]
6ULN: [['C1K0Y1', 'P61769'], ['C1K0Y1', 'P01111'], ['P61769', 'P01111']]
6ULR: [['P01111', 'C1K0Y1'], ['P01111', 'P61769'], ['C1K0Y1', 'P61769']]
6UML: [['Q16531', 'Q96SW2'], ['Q16531', 'Q9UJQ4'], ['Q96SW2', 'Q9UJQ4']]
6UMX: [['O14793', 'P0DOY2'], ['O14793', 'Q5EFE5'], ['P0DOY2', 'Q5EFE5']]
6UON: [['P61769', 'P01111'], ['P61769', 'C1K0Y1'], ['P01111', 'C1K0Y1']]
6UP7: [['P30990', 'P49407'], ['P30990', 'P30989'], ['P49407', 'P30989']]
6UXE: [['Q9H1K1', 'Q9Y697'], ['Q9H1K1', 'Q9HD34'], ['Q9Y697', 'Q9HD34']]
6UZ1: [['A0A140T913', 'P61769'], ['A0A140T913', 'P14079'], ['P61769', 'P14079']]
6V0N: [['Q9BQA1', 'O14744'], ['Q9BQA1', 'Q9BRS2'], ['O14744', 'Q9BRS2']]
6V0O: [['P54105', 'O14744'], ['P54105', 'Q9BQA1'], ['O14744', 'Q9BQA1']]
6V0Y: [['P01903', 'P01911'], ['P01903', 'P02675'], ['P01911', 'P02675']]
6V13: [['P01903', 'P01911'], ['P01903', 'P02675'], ['P01911', 'P02675']]
6V15: [['P01903', 'P01911'], ['P01903', 'P02675'], ['P01911', 'P02675']]
6V18: [['P01903', 'P01911'], ['P01903', 'P02675'], ['P01911', 'P02675']]
6V19: [['P01903', 'P01911'], ['P01903', 'P02675'], ['P01911', 'P02675']]
6V1A: [['P01903', 'P01911'], ['P01903', 'P02675'], ['P01911', 'P02675']]
6V3J: [['I3ZN84', 'P61769'], ['I3ZN84', 'P43629'], ['P61769', 'P43629']]
6V4U: [['Q9HAD4', 'Q96LT7'], ['Q9HAD4', 'Q8TEV9'], ['Q96LT7', 'Q8TEV9']]
6V65: [['Q7Z699', 'P21359'], ['Q7Z699', 'P01116'], ['P21359', 'P01116']]
6V6F: [['P01116', 'Q7Z699'], ['P01116', 'P21359'], ['Q7Z699', 'P21359']]
6V94: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6V9F: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6V9J: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6V9L: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6V9M: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6V9N: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6V9O: [['P01112', 'Q07889'], ['P01112', 'P01112'], ['Q07889', 'P01112']]
6VAE: [['Q9NVI1', 'Q9BXW9'], ['Q9NVI1', 'P0CG48'], ['Q9BXW9', 'P0CG48']]
6VAF: [['Q9NVI1', 'Q9BXW9'], ['Q9NVI1', 'P0CG48'], ['Q9BXW9', 'P0CG48']]
6VCD: [['P48200', 'Q9UKA1'], ['P48200', 'P63208'], ['Q9UKA1', 'P63208']]
6VGD: [['Q01543', 'Q13950'], ['Q01543', 'Q13951'], ['Q13950', 'Q13951']]
6VGE: [['P11308', 'Q13950'], ['P11308', 'Q13951'], ['Q13950', 'Q13951']]
6VGG: [['P11308', 'Q13950'], ['P11308', 'Q13951'], ['Q13950', 'Q13951']]
6VM7: [['A0A140T913', 'P61769'], ['A0A140T913', 'P40967'], ['P61769', 'P40967']]
6VM8: [['A0A140T913', 'P61769'], ['A0A140T913', 'P40967'], ['P61769', 'P40967']]
6VM9: [['A0A140T913', 'P61769'], ['A0A140T913', 'P40967'], ['P61769', 'P40967']]
6VMA: [['A0A140T913', 'P61769'], ['A0A140T913', 'P40967'], ['P61769', 'P40967']]
6VMC: [['A0A140T913', 'P61769'], ['A0A140T913', 'P40967'], ['P61769', 'P40967']]
6VP8: [['Q5S007', 'Q5S007'], ['Q5S007', 'Q5S007'], ['Q5S007', 'Q5S007']]
6VQO: [['A0A140T913', 'P61769'], ['A0A140T913', 'P04637'], ['P61769', 'P04637']]
6VR1: [['A0A140T913', 'P61769'], ['A0A140T913', 'P04637'], ['P61769', 'P04637']]
6VR5: [['A0A140T913', 'P61769'], ['A0A140T913', 'P04637'], ['P61769', 'P04637']]
6VRM: [['A0A140T913', 'P61769'], ['A0A140T913', 'P04637'], ['P61769', 'P04637']]
6VRN: [['A0A140T913', 'P61769'], ['A0A140T913', 'P04637'], ['P61769', 'P04637']]
6W1D: [['Q9Y697', 'Q9HD34'], ['Q9Y697', 'Q9H1K1'], ['Q9HD34', 'Q9H1K1']]
6W3J: [['Q5VWP2', 'O00444'], ['Q5VWP2', 'Q8TEP8'], ['O00444', 'Q8TEP8']]
6W51: [['A0A140T913', 'P61769'], ['A0A140T913', 'P04637'], ['P61769', 'P04637']]
6W66: [['P63208', 'Q9UF56'], ['P63208', 'Q14145'], ['Q9UF56', 'Q14145']]
6W6W: [['Q2NKJ3', 'Q9H668'], ['Q2NKJ3', 'Q86WV5'], ['Q9H668', 'Q86WV5']]
6W9D: [['P62837', 'Q9NVW2'], ['P62837', 'P0CG48'], ['Q9NVW2', 'P0CG48']]
6WC6: [['O60341', 'Q9UKL0'], ['O60341', 'O60341'], ['Q9UKL0', 'O60341']]
6WI2: [['Q9Y697', 'Q9HD34'], ['Q9Y697', 'Q9H1K1'], ['Q9HD34', 'Q9H1K1']]
6WIH: [['Q9Y697', 'Q9HD34'], ['Q9Y697', 'Q9H1K1'], ['Q9HD34', 'Q9H1K1']]
6WNA: [['P55899', 'P61769'], ['P55899', 'P01861'], ['P61769', 'P01861']]
6WNX: [['Q9UKB1', 'P63208'], ['Q9UKB1', 'P35222'], ['P63208', 'P35222']]
6WOL: [['P01861', 'P55899'], ['P01861', 'P61769'], ['P55899', 'P61769']]
6WS0: [['Q9UBZ9', 'Q9UI95'], ['Q9UBZ9', 'O60673'], ['Q9UI95', 'O60673']]
6WS5: [['Q9UBZ9', 'Q9UI95'], ['Q9UBZ9', 'O60673'], ['Q9UI95', 'O60673']]
6WTH: [['P37088', 'P51168'], ['P37088', 'P51170'], ['P51168', 'P51170']]
6X0U: [['Q96CW5', 'Q96RT7'], ['Q96CW5', 'Q08AG7'], ['Q96RT7', 'Q08AG7']]
6X0V: [['Q6P582', 'Q9BSJ2'], ['Q6P582', 'Q96SN8'], ['Q9BSJ2', 'Q96SN8']]
6X3S: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
6X3T: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
6X3U: [['P47870', 'P18507'], ['P47870', 'P14867'], ['P18507', 'P14867']]
6X3V: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
6X3W: [['P14867', 'P18507'], ['P14867', 'P47870'], ['P18507', 'P47870']]
6X3X: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
6X3Z: [['P47870', 'P18507'], ['P47870', 'P14867'], ['P18507', 'P14867']]
6X40: [['P47870', 'P14867'], ['P47870', 'P18507'], ['P14867', 'P18507']]
6X6A: [['Q86TI2', 'Q9C000'], ['Q86TI2', 'Q9C000'], ['Q9C000', 'Q9C000']]
6X93: [['P22301', 'Q13651'], ['P22301', 'Q08334'], ['Q13651', 'Q08334']]
6XBZ: [['P51948', 'P51946'], ['P51948', 'P50613'], ['P51946', 'P50613']]
6XD3: [['P51948', 'P51946'], ['P51948', 'P50613'], ['P51946', 'P50613']]
6XK9: [['P15170', 'Q16531'], ['P15170', 'Q96SW2'], ['Q16531', 'Q96SW2']]
6XOG: [['Q9UBE0', 'Q9UBT2'], ['Q9UBE0', 'P63165'], ['Q9UBT2', 'P63165']]
6XOH: [['Q9UBE0', 'Q9UBT2'], ['Q9UBE0', 'P63165'], ['Q9UBT2', 'P63165']]
6XOI: [['Q9UBE0', 'Q9UBT2'], ['Q9UBE0', 'P63165'], ['Q9UBT2', 'P63165']]
6XXS: [['P41182', 'O75376'], ['P41182', 'P41182'], ['O75376', 'P41182']]
6YA7: [['O00311', 'Q9UBU7'], ['O00311', 'P49736'], ['Q9UBU7', 'P49736']]
6YBT: [['Q14152', 'Q13347'], ['Q14152', 'P55884'], ['Q13347', 'P55884']]
6YGJ: [['P31946', 'Q9NP71'], ['P31946', 'P31946'], ['Q9NP71', 'P31946']]
6YIE: [['Q53HL2', 'Q9NQS7'], ['Q53HL2', 'O15392'], ['Q9NQS7', 'O15392']]
6YSQ: [['P0C0L5', 'P0C0L4'], ['P0C0L5', 'P0C0L5'], ['P0C0L4', 'P0C0L5']]
6YVH: [['Q9HCG8', 'Q6UX04'], ['Q9HCG8', 'P38919'], ['Q6UX04', 'P38919']]
6Z2J: [['Q13547', 'Q9H147'], ['Q13547', 'Q6PJG2'], ['Q9H147', 'Q6PJG2']]
6Z2K: [['Q13547', 'Q6PJG2'], ['Q13547', 'Q9H147'], ['Q6PJG2', 'Q9H147']]
6Z6V: [['P02745', 'P02746'], ['P02745', 'P02747'], ['P02746', 'P02747']]
6Z9W: [['A0A140T913', 'P61769'], ['A0A140T913', 'P13726'], ['P61769', 'P13726']]
6ZHA: [['P78527', 'P12956'], ['P78527', 'P13010'], ['P12956', 'P13010']]
6ZHE: [['P78527', 'P12956'], ['P78527', 'P13010'], ['P12956', 'P13010']]
7AI0: [['Q00987', 'P62837'], ['Q00987', 'P0CG47'], ['P62837', 'P0CG47']]
7AI1: [['Q00987', 'P62837'], ['Q00987', 'P0CG47'], ['P62837', 'P0CG47']]
7AKK: [['P01024', 'P01024'], ['P01024', 'P11215'], ['P01024', 'P11215']]
7ALO: [['A0A2R7Z5J3', 'P61769'], ['A0A2R7Z5J3', 'P32241'], ['P61769', 'P32241']]
7ANK: [['P35609', 'P35609'], ['P35609', 'Q9NP98'], ['P35609', 'Q9NP98']]
7AO8: [['Q9UBB5', 'Q13330'], ['Q9UBB5', 'Q13547'], ['Q13330', 'Q13547']]
7AO9: [['Q9UBB5', 'Q13330'], ['Q9UBB5', 'Q13547'], ['Q13330', 'Q13547']]
7AY2: [['Q8TAF3', 'O94782'], ['Q8TAF3', 'P0CG47'], ['O94782', 'P0CG47']]
7B2M: [['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4']]
7B2P: [['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4']]
7B2Q: [['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4'], ['P0C0L4', 'P0C0L4']]
7B5O: [['P51948', 'P51946'], ['P51948', 'P50613'], ['P51946', 'P50613']]
7B5Q: [['P51948', 'P51946'], ['P51948', 'P50613'], ['P51946', 'P50613']]
7B5S: [['Q13616', 'Q9Y4X5'], ['Q13616', 'P62877'], ['Q9Y4X5', 'P62877']]
7B9C: [['Q9BWJ5', 'O75533'], ['Q9BWJ5', 'Q7RTV0'], ['O75533', 'Q7RTV0']]
7BBF: [['Q15819', 'P61088'], ['Q15819', 'P0CG48'], ['P61088', 'P0CG48']]
7BBG: [['A0A140T913', 'P61769'], ['A0A140T913', 'P19544'], ['P61769', 'P19544']]
7BBL: [['Q8WXD5', 'Q9H840'], ['Q8WXD5', 'Q9NWZ8'], ['Q9H840', 'Q9NWZ8']]
7BFP: [['Q96HW7', 'Q5TA45'], ['Q96HW7', 'Q9NV88'], ['Q5TA45', 'Q9NV88']]
7BFQ: [['Q9NV88', 'Q96HW7'], ['Q9NV88', 'Q5TA45'], ['Q96HW7', 'Q5TA45']]
7BG9: [['O14746', 'B4DR52'], ['O14746', 'P0C0S8'], ['B4DR52', 'P0C0S8']]
7BRE: [['Q9UBL3', 'Q9UMN6'], ['Q9UBL3', 'Q15291'], ['Q9UMN6', 'Q15291']]
7BXT: [['P62805', 'P04908'], ['P62805', 'Q16778'], ['P04908', 'Q16778']]
7BY0: [['P62805', 'P04908'], ['P62805', 'P06899'], ['P04908', 'P06899']]
7CE3: [['P50213', 'P51553'], ['P50213', 'O43837'], ['P51553', 'O43837']]
7CIQ: [['O78189', 'P61769'], ['O78189', 'P18583'], ['P61769', 'P18583']]
7CIR: [['O78189', 'P61769'], ['O78189', 'P18583'], ['P61769', 'P18583']]
7CIS: [['O78189', 'P61769'], ['O78189', 'P18583'], ['P61769', 'P18583']]
7CMU: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7CMV: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7CZ5: [['Q02643', 'P63092'], ['Q02643', 'P01286'], ['P63092', 'P01286']]
7D3S: [['P09683', 'P47872'], ['P09683', 'P63092'], ['P47872', 'P63092']]
7DL2: [['Q92574', 'P49815'], ['Q92574', 'Q9P0N9'], ['P49815', 'Q9P0N9']]
7DNI: [['P0CG47', 'Q9BYX4'], ['P0CG47', 'Q7Z434'], ['Q9BYX4', 'Q7Z434']]
7DPA: [['Q9H7D0', 'P63000'], ['Q9H7D0', 'Q92556'], ['P63000', 'Q92556']]
7DUQ: [['P01275', 'P43220'], ['P01275', 'P63092'], ['P43220', 'P63092']]
7DUU: [['F6IQA6', 'P61769'], ['F6IQA6', 'P43631'], ['P61769', 'P43631']]
7DYN: [['O78189', 'P61769'], ['O78189', 'P18583'], ['P61769', 'P18583']]
7E1Z: [['P05023', 'P05026'], ['P05023', 'P54710'], ['P05026', 'P54710']]
7E+020: [['P05023', 'P05026'], ['P05023', 'P54710'], ['P05026', 'P54710']]
7E+021: [['P05023', 'P05026'], ['P05023', 'P54710'], ['P05026', 'P54710']]
7E2X: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7E2Y: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7E2Z: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7E+032: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7E+033: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7E+034: [['P24941', 'Q5MJ70'], ['P24941', 'O94901'], ['Q5MJ70', 'O94901']]
7E+087: [['Q9NZV8', 'Q9NZV8'], ['Q9NZV8', 'P42658'], ['Q9NZV8', 'P42658']]
7E8B: [['P42658', 'Q9NZV8'], ['P42658', 'Q9NZV8'], ['Q9NZV8', 'Q9NZV8']]
7EWP: [['Q5T848', 'P49802'], ['Q5T848', 'O14775'], ['P49802', 'O14775']]
7EWR: [['P49802', 'O14775'], ['P49802', 'Q5T848'], ['O14775', 'Q5T848']]
7EXD: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7F16: [['P49190', 'Q96A98'], ['P49190', 'P63092'], ['Q96A98', 'P63092']]
7F6G: [['P50148', 'P62873'], ['P50148', 'P59768'], ['P62873', 'P59768']]
7FIG: [['P22888', 'P01215'], ['P22888', 'P0DN86'], ['P01215', 'P0DN86']]
7FIH: [['P22888', 'P01215'], ['P22888', 'P0DN86'], ['P01215', 'P0DN86']]
7FII: [['P22888', 'P01215'], ['P22888', 'P0DN86'], ['P01215', 'P0DN86']]
7JHG: [['Q13131', 'O43741'], ['Q13131', 'P54619'], ['O43741', 'P54619']]
7JHH: [['Q13131', 'O43741'], ['Q13131', 'P54619'], ['O43741', 'P54619']]
7JHJ: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7JIJ: [['Q13131', 'O43741'], ['Q13131', 'P54619'], ['O43741', 'P54619']]
7JOZ: [['P63092', 'P62873'], ['P63092', 'P59768'], ['P62873', 'P59768']]
7JVR: [['P63096', 'P62873'], ['P63096', 'P59768'], ['P62873', 'P59768']]
7K0C: [['P01833', 'P01871'], ['P01833', 'P01591'], ['P01871', 'P01591']]
7K0I: [['O15269', 'O15270'], ['O15269', 'Q969W0'], ['O15270', 'Q969W0']]
7K0J: [['O15269', 'O15270'], ['O15269', 'Q969W0'], ['O15270', 'Q969W0']]
7K0K: [['O15269', 'O15270'], ['O15269', 'Q969W0'], ['O15270', 'Q969W0']]
7K0L: [['O15269', 'O15270'], ['O15269', 'Q969W0'], ['O15270', 'Q969W0']]
7K0Y: [['P78527', 'P12956'], ['P78527', 'P13010'], ['P12956', 'P13010']]
7K1J: [['P13010', 'P78527'], ['P13010', 'P12956'], ['P78527', 'P12956']]
